idDrink,Name,Instructions,GlassType,Type of Drink,Alcoholic?
11000,Mojito,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,Highball glass,Cocktail,Alcoholic
11001,Old Fashioned,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",Old-fashioned glass,Cocktail,Alcoholic
11002,Long Island Tea,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Highball glass,Ordinary Drink,Alcoholic
11003,Negroni,"Stir into glass over ice, garnish and serve.",Old-fashioned glass,Ordinary Drink,Alcoholic
11004,Whiskey Sour,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",Old-fashioned glass,Ordinary Drink,Alcoholic
11005,Dry Martini,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",Cocktail glass,Cocktail,Alcoholic
11006,Daiquiri,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Cocktail glass,Ordinary Drink,Alcoholic
11007,Margarita,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",Cocktail glass,Ordinary Drink,Alcoholic
11008,Manhattan,"Stirred over ice, strained into a chilled glass, garnished, and served up.",Cocktail glass,Cocktail,Alcoholic
11009,Moscow Mule,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,Copper Mug,Punch / Party Drink,Alcoholic
11010,After Dinner Cocktail,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,Cocktail glass,Ordinary Drink,Alcoholic
11011,After Supper Cocktail,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Ordinary Drink,Alcoholic
11012,Alabama Slammer,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",Highball glass,Ordinary Drink,Alcoholic
11013,Alaska Cocktail,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",Cocktail glass,Ordinary Drink,Alcoholic
11014,Alexander,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Cocktail glass,Ordinary Drink,Alcoholic
11016,Brandy Alexander,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Whiskey Glass,Ordinary Drink,Alcoholic
11019,Alfie Cocktail,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Ordinary Drink,Alcoholic
11020,Algonquin,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Cocktail glass,Ordinary Drink,Alcoholic
11021,Allegheny,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Cocktail glass,Ordinary Drink,Alcoholic
11022,Allies Cocktail,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Cocktail glass,Ordinary Drink,Alcoholic
